,公司名称,发布时间,岗位名称,岗位需求,工资待遇,所属行业,招聘网址,结束时间
399,北京高域海汇科技有限公司,2018-03-02,Python开发工程师,职位要求： - 计算机科学或相关专业本科毕业，2年以上工作经验； - 能熟练使用Python语言进行日常开发工作： - 能熟练使用MySQL，具备优秀的数据库设计能力； - 熟悉Web开发相关协议、工具和技术； - 具有较强的沟通能力，分析和解决问题的能力，具备良好的团队合作精神和服务意识； - 满足以下一个或多个条件者优先考虑： - 具备前端开发能力，包括html/css/javascript等技术； - 熟练使用Flask，django等web开发框架； - 有开源项目经验；,15000-30000,计软/通信/互联网/电子,https://www.zhipin.com/job_detail/1417193700.html?sid=seo_aladingb,2018-04-01
400,北京仁科互动网络技术有限公司,2018-03-02,Python开发工程师,职位描述： ● 负责运维支撑平台、运维自动化平台及相关工具的设计和开发； ● 负责优化、改进运维系统，保证其安全高效稳定的运行； ● 开发端到端的服务度量系统； ● 开发基于云计算的微服务管理系统。 任职要求： ● 熟悉Python/Golang等其中一种开发语言； ● 熟悉一种Python或golang常用的开发框架，有一定的web前端技能； ● 熟悉Linux操作系统及常用命令，熟悉多线程、网络相关知识； ● 熟悉常用的开源软件Nginx、Mysql、ELK、MongoDB、Redis等； ● 熟悉日志/Metrics分析统计相关工具和技术（如 Elasticsearch/Logstash）； ● 计算机及相关专业本科及以上学历，两年以上相关工作经验； 优先条件： ● 熟悉Docker应用，有k8s或Mesos或Swarm经验； ● 熟悉云计算相关技术，有2年阿里云或AWS使用经验，有AWS认证为佳； ● 有运维平台/监控平台/资产管理平台/性能度量平台开发经验； ● 有Java开发背景最佳；,20000-30000,计软/通信/互联网/电子,https://www.zhipin.com/job_detail/1417187834.html?sid=seo_aladingb,2018-04-01
401,北京三快在线科技有限公司,2018-03-02,服务端高级开发工程师Golang/Python(北京三快在线科技有限公司),工作职责：1.负责服务器端软件的研发工作，包括服务器端需求沟通，架构设计，核心技术研发，线上服务维护等；2.学习和研究新技术以满足产品的需求；3.负责软件开发过程中的问题分析和总结，提供建议帮助改善研发流程；4.和产品/测试/运营进行密切沟通，能够根据需求提出合理技术方案。岗位职责：1．全日制本科以上学历计算机相关专业，2年以上工作经验2．熟练使用python/Golang，有良好的代码规范3．熟练使用MySQL、MongoDB、Redis4．对软件工程和编程技术有较深理解，具备服务器端开发经验，熟悉网络协议和网络开发，具备全栈开发经验者优先5．有hadoop，hbase，spark，mapreduce等大数据工具使用经验优先6．强烈的责任心与主动性，对所负责工作有owner意识，并能自我驱动成长7．具有强烈的团队协作意识，高度的责任感，对工作积极严谨，逻辑思维能力强，有较强学习和创新能力。,35000-45000,移动互联网|O2O,https://www.lagou.com/jobs/4134091.html?utm_source=m_cf_seo_ald_zhw,2018-05-02
402,北京京东金融科技控股有限公司,2018-03-02,Python自动化运维开发,京东金融集团招Python自动化运维开发 工作地点：北京亦庄总部，班车接送 工作职责： 1、负责运营支撑平台、运维自动化平台及其组件的设计和开发； 2、负责优化、改进运维支持系统，并保证其安全高效稳定的运行； 3、参与运营平台、运维系统的需求分析、设计、编码； 4、负责开发、完善运维内部系统及辅助系统，提升运维质量及效率； 任职要求： 1.两年以上开发经验，具有设计，性能优化经验，良好的编码规范； 2.熟练掌握Python Web框架 如Django，Twisted，Tornado等； 3.熟练使用多线程、Socket编程，以及HTTP REST协议； 4.有自动化运维意识，多人开发及版本控制管理经验； 5.熟练使用关系型数据库，有数据库运维经验优先录用；,20000-40000,计软/通信/互联网/电子,https://www.zhipin.com/job_detail/1413161136.html?sid=seo_aladingb,2018-04-01
403,北京多牛互动传媒股份有限公司,2018-03-02,Python开发工程师-数据分析-DNJS0030(北京多牛互动传媒股份有限公司),工作职责：1、负责平台系统的开发、优化和维护；2、参与广告系统相关逻辑的设计、开发、优化和维护；3、编写相关技术文档，编写核心测试案例；岗位要求：1、熟悉Pythonweb开发、django框架、Tornado框架、HTTP协议，了解Socket编程；2、至少熟悉一下一种数据库:Mysql、Mongodb、PostareSQL3、熟悉Linux平台环境下的开发，掌握Linux常用命令；熟悉Shell编程的优先考虑；4、熟悉Memcache/Redis或其它Nosql的使用；5、熟悉Javascript，Html、Css等Web前端开发；6、有广告平台研发经历的优先考虑7、有强力的事业心，能够快速成长。福利多多：*多牛传媒为每一位员工提供最人性化的薪酬福利，工作环境；*入职缴纳社保公积金，我们义不容辞；*我们关心每一位多牛人的健康，健身房，水果，零食饮料等多项软福利；*每天下午困困哒，不要紧，咖啡无限量供应！*我们有最open的文化氛围，珍视每一位多牛人每一个小小的建议；*多牛传媒，趣，最活力，最学习，最靠谱，最创新；*我们等待你的加入！,15000-30000,文化娱乐,https://www.lagou.com/jobs/3879350.html?utm_source=m_cf_seo_ald_zhw,2018-05-02
404,北京赢联明志科技有限公司,2018-03-02,java python 网络爬虫开发,"岗位职责： 1、对爬虫感兴趣，能独立爬取数据； 2、能够利用爬虫爬取各大网站的数据。 3、对爬取的内容进行提取、处理、优化、过滤，审核，入库等操作； 4、针对不同网站，编写及维护网页抽取配置； 5、有社交媒体数据采集经验者优先； 6、有自动化测试经验的优先； 7、有海外社交平台采集有经验者优先； 8、对于分词，情感分析等一些采集相关工作有经验者优先 任职要求： 1、熟练掌握一种开发语言，并且对其他语言有一定的理解能力，和简单的编写能力，精通java语言者优先； 2、熟悉Html,XML网页标记语言，熟悉基于Cookie的网站登录原理，熟悉基于正则表达式、Xpath、CSS等网页信息抽取技术，熟悉JS，ajax，网页消重； 3、熟悉Mysql数据库，了解Redis、Mongodb、HBase、HIVE等NoSQL数据库； 4、2-3年以上爬虫开发经验，有分布式爬虫架构经验优先； 5、熟悉多线程、网络通信编程相关知识 6、对于新技术接受能力快，有良好的对接沟通能力",12000-16000,计软/通信/互联网/电子,https://www.zhipin.com/job_detail/1417031554.html?sid=seo_aladingb,2018-04-01
405,北京果壳互动科技传媒有限公司,2018-03-02,高级Python开发工程师(北京果壳互动科技传媒有限公司),职位描述:-根据产品需求制定技术方案，项目计划-负责公司业务系统和基础服务研发工作-编写易于维护的高质量代码职位要求:-统招重点本科或以上学历-3年以上网站开发经验-熟练掌握Python语言及相关技术栈，对Web框架有一定经验-熟悉PostgreSQL、Redis、MongoDB等，具备数据库应用、设计能力-对分布式、微服务以及高性能Web有一定认识-具备较强的编程能力和良好的编码风格-具备较强的逻辑分析能力和学习能力-具备良好的人际沟通能力和团队协作意识-有golang开发、云计算、大数据处理经验者优先,20000-40000,移动互联网|社交网络,https://www.lagou.com/jobs/2862273.html?utm_source=m_cf_seo_ald_zhw,2018-05-02
406,北京上格云技术有限公司,2018-03-02,Python工程师-实习生,岗位职责 1. 参与公司软件产品后台研发和维护工作 2. 参与建筑物联网数据分析算法的设计和开发 3. 可独立完成业务算法模块开发，并能结合产品目标进行改进创新 任职要求 1. 熟练使用python，一年以上python开发经验 2. 熟悉MySQL数据库，了解NoSQL数据库 3. 熟悉时间序列模型，分类器和神经网络算法 4. 善于沟通和逻辑表达，良好的团队合作精神和积极主动的沟通意识 5. 具备较好的学习能力，问题分析能力，可以独立调试解决问题 工作时间 实习期2017年10月~2018年1月，不低于1个月 每周工作不低于3天 薪酬 实习薪资按实际工作天数计算，150元/天 根据工作完成情况另设奖金,3000-4000,计软/通信/互联网/电子,https://www.zhipin.com/job_detail/1414566957.html?sid=seo_aladingb,2018-04-01
407,北京雷石世纪科技有限公司,2018-03-02,python工程师(北京雷石世纪科技有限公司),职位描述1、负责产品设备开发、维护与管理；2、服务端相关组件开发；3、设备自动化测试，品控管理；4、负责云端设备的鼓掌预警、产品升级更新管理；5、内部系统开发。任职要求1、熟练使用Python；2、两年以上互联网产品Python后台开发经验；3、熟悉MySQL数据库；4、熟悉Redis，熟练掌握Shell编程；5、扎实的计算机基础，熟练掌握数据结构、算法、计算机网络、操作系统等基础知识；6、有很强的学习能力、压力承担能力及团队合作能力，有主动性和上进心；7、优秀的分析问题和解决问题的能力，对解决具有挑战性的问题充满激情。,10000-20000,移动互联网|企业服务,https://www.lagou.com/jobs/3051317.html?utm_source=m_cf_seo_ald_zhw,2018-05-02
408,北京绿果科技有限公司,2018-03-02,Python高级工程师,岗位职责： 1. 负责服务器端系统框架设计、功能开发及维护； 2. 参与技术方案讨论和技术调研； 3. 负责相关工具开发和相关文档的编写； 4. 负责服务器性能的优化，保证服务端稳定安全的运行。 5. 负责数据库相关. 任职资格： 1. 熟悉python及Python3语言，熟悉常用库的使用，熟悉Django、tornado、flask等web框架中的一种 2. 熟悉SQL及NoSQL数据库系统， 熟悉Redis， NoSQL知识掌握运用. 3. 了解异步架构. 掌握运行多进程， 多线程及协程操作. 4. 了解HTML/XHTML、CSS等网页制作技术，熟悉页面架构和布局； 5. 了解JavaScript、对DOM， Ajax、JSON等有了解； 6. 熟练使用Linux系统，对算法、数据结构有一定了解； 7. 热爱工作， 有良好的学习能力， 能够接受新鲜事务， 对新技术及新模块可以快速掌握运用； 8. 良好的沟通与表达能力、思路清晰，较强的动手能力与逻辑分析能力，对工作和生活充满了热情。 9. 拥有区块链知识者优先。 岗位吸引力： 1、区块链领域领先者，己盈利，多个知名机构投资，工作地点在地铁站附近； 2、具竞争力的薪酬与福利，无责底薪+高额提成+奖金+五险一金，享有年假及国家法定节假日等； 3、公司提供下午茶、水果等； 4、员工活动：公司为您提供年度旅游、羽毛球、乒乓球赛、部门聚会、部门唱K、户外拓展等丰富多彩的娱乐活动，让您在业余时间得到放松和快乐 5、培训：免费岗前培训，公司有健全专业的内部讲师培训机制，将为您提供，技术、管理、专业知识、心态等各类培训，公司将为您的成长进行长期投资，为您的职业生涯进行持续充电。,10000-20000,计软/通信/互联网/电子,https://www.zhipin.com/job_detail/1416155023.html?sid=seo_aladingb,2018-04-01
409,北京智海创讯信息技术有限公司,2018-03-02,软件开发工程师（python）(北京智海创讯信息技术有限公司),1.负责对互联网采集的数据清洗整理2.搭建电商数据的分析模型体系，从海量数据中为卖家找到有价值的信息3.至少2年python语言后端开发经验，有上线使用的项目。4.由于最近在开拓海外电商信息采集，外语能力强优先考虑,10000-20000,数据服务,https://www.lagou.com/jobs/3931052.html?utm_source=m_cf_seo_ald_zhw,2018-05-02
410,北京旷视科技有限公司,2018-03-02,高级Python后端工程师,岗位职责： * 负责搭建和持续改进众包平台产品的后台服务 * 负责技术攻关和创新技术引用，解决产品开发过程中的高性能，高并发和高可靠性问题 * 指导和协调其他开发人员的工作 任职要求： * 3年以上的后端开发工作经验 * 有良好的计算机专业知识和扎实的编程功底，计算机相关专业本科及以上学历 * 熟练掌握至少一门Python Web开发框架（Tornado、Django、Flask等) * 熟悉MySQL/Redis/MongoDB * 熟悉分布式、微服务、高性能Web服务的开发，有一定的系统架构设计能力者优先 * 有独立分析和解决问题的能力，有良好的团队合作精神,20000-35000,计软/通信/互联网/电子,https://www.zhipin.com/job_detail/1417035183.html?sid=seo_aladingb,2018-04-01
411,内蒙古西贝餐饮连锁有限责任公司,2018-03-02,Python高级开发工程师(内蒙古西贝餐饮连锁有限责任公司),"职位描述公司核心部门开发人员职位诱惑：如果你想帮助一个中国知名的餐饮企业转型互联网+如果你想改变一个传统领域的玩法如果你想自己担当一个项目的负责人那么请你加入我们吧，我们给你无限的想象空间，我们不会限制你的发展，你有多少能力我们给你多大平台待遇是你想岗位职责：1.根据第三方平台提供的数据,进行清洗,整理,分析；2.全公司服务器的自动化运维，自研发系统自动化发布实现；3.全网的餐饮行业数据以及相关数据收集；4.自研发项目的自动化测试、压力测试等；5.餐饮行业数据分析；岗位要求：1.熟练掌握python,熟悉linux系统；2.掌握tornado框架等常用框架；3.熟悉mysql等常用数据库，对SQL语句有深入理解，掌握大数据处理技术优先；4.数据redis等缓存数据库;5.较强的学习、分析问题的能力，良好的团队合作意识，需要有一定抗压能力；6.有数据挖掘/机器学习/推荐系统开发经验者优先；7、3年以上工作经验，统招本科；",12000-20000,其他,https://www.lagou.com/jobs/4079439.html?utm_source=m_cf_seo_ald_zhw,2018-05-02
412,北京高域海汇科技有限公司,2018-03-02,Python开发工程师,职位要求： - 计算机科学或相关专业本科毕业，2年以上工作经验； - 能熟练使用Python语言进行日常开发工作： - 能熟练使用MySQL，具备优秀的数据库设计能力； - 熟悉Web开发相关协议、工具和技术； - 具有较强的沟通能力，分析和解决问题的能力，具备良好的团队合作精神和服务意识； - 满足以下一个或多个条件者优先考虑： - 具备前端开发能力，包括html/css/javascript等技术； - 熟练使用Flask，django等web开发框架； - 有开源项目经验；,15000-30000,计软/通信/互联网/电子,https://www.zhipin.com/job_detail/1417193700.html?sid=seo_aladingb,2018-04-01
413,北京多牛互动传媒股份有限公司,2018-03-02,Python开发工程师-WEB-DNJS0007(北京多牛互动传媒股份有限公司),"这里有大量的妹子，休闲的别墅办公，超美味的午餐，丰富的娱乐，欢乐的同事，这些你想拥有吗？在这里你再也不是简单的码农，我们带你一起向高富帅的路上狂奔！我们需要你：*负责软件模块的设计、开发、单元测试、集成等工作；*参与相关需求分析、业务逻辑流程设计及文档编写；*参与数据模型设计和实现；*参与性能优化；*参与新技术研究学习及应用我们希望你具备：*计算机相关专业本科及以上学历；*熟悉python语言，2年以上python项目开发经验；*熟悉tornado,或flask、django框架，并深入了解其中一种；*熟悉至少一种数据库（mysql、oracle）、了解至少一种Nosql数据库（redis、mongodb、hbase）；*熟悉linux系统，熟悉http协议；*熟悉restfulapi设计风格和规则，熟悉pandas者优先；*具备良好的编码规范、学习能力，有独立分析解决问题能力；*工作认真负责，沟通协作意识良好，能够承担工作压力.先来点实际的：*多牛传媒为每一位员工提供最人性化的薪酬福利，工作环境；*入职缴纳社保公积金，我们义不容辞；*我们关心每一位多牛人的健康，健身房，水果，零食饮料等多项软福利；*每天下午困困哒，不要紧，咖啡无限量供应！*我们有最open的文化氛围，珍视每一位多牛人每一个小小的建议；*多牛传媒，趣，最活力，最学习，最靠谱，最创新；*我们等待你的加入！",12000-24000,文化娱乐,https://www.lagou.com/jobs/3470409.html?utm_source=m_cf_seo_ald_zhw,2018-05-02
414,首汇焦点（北京）科技有限公司,2018-03-02,python中高级研发工程师,岗位职责： 1.负责公司 Web 项目以及 REST API 的开发； 2.熟练使用Flask和Django 框架开发 3.参与用户体验/交互设计的讨论，参与设计过程中的评审 4.参与云平台项目的管理。 任职要求： 1、熟练使用Python； 2、对系统架构有了解； 3、承担WEB后端的核心模块的设计、实现工作； 4、承担主要开发工作，对代码质量及进度负责； 5、对互联网安全与性能优化有一定了解； 6、相关工作经验3年以上； 7、可年后入职。,10000-20000,计软/通信/互联网/电子,https://www.zhipin.com/job_detail/1416115690.html?sid=seo_aladingb,2018-04-01
415,北京荣之联科技股份有限公司,2018-03-02,爬虫工程师（python）(北京荣之联科技股份有限公司),岗位职责：1、完成产品软件模块规划、设计；2、完成产品智能推荐、用户评价反馈模块开发；3、搭建互联网数据采集平台，实现可视化分布式网络爬虫设计。任职要求：1、计算机相关专业，本科以上学历；3年以上爬虫开发相关经验，熟练使用Python进行开发；2、熟练使用正则表达式、csspath、xpath等，能够从结构化的和非结构化的数据中获取信息；3、精通一种开源爬虫框架，如scrapy、webmagic、nutch、heritrix等，有开发爬虫框架经验优先；4、参与过实现项目编码开发。加分项：了解NLP算法、机器学习、数据挖掘等。备注：公司有班车,10000-20000,企业服务|数据服务,https://www.lagou.com/jobs/4129965.html?utm_source=m_cf_seo_ald_zhw,2018-05-02
416,零氪科技（北京）有限公司,2018-03-02,Python工程师,岗位描述: 1.负责公司元数据系统的设计与实现 2.参与公司数据仓库的设计与建设 任职要求: 1.1年以上Python开发经验，熟悉常用的设计模式 2.熟悉MySQL数据库和Mongo文档数据库 3.了解Python Web框架，如Django 4.具备良好的分析解决问题能力，能独立承担任务并对进度有把控能力 5.了解pySpark和PHP优先 6.对医疗行业感兴趣优先,20000-40000,计软/通信/互联网/电子,https://www.zhipin.com/job_detail/1414740930.html?sid=seo_aladingb,2018-04-01
417,上海微创软件股份有限公司北京分公司,2018-03-02,Python开发工程师（微软）(上海微创软件股份有限公司北京分公司),岗位职责：参与公司产品和工具研发；AI相关前沿技术研究和新技术调研。岗位要求：本科及以上学历，计算机、通信及相关专业.3年以上开发经验，其中python至少一年，熟练使用python及类库；熟练使用Flask、Django等框架；熟练使用爬虫框架或类库进行信息爬取；数据提取、清理和过滤；熟悉后端服务和接口API的开发；熟练使用javarscript，jquery、html5、css等相关前端技术。Angular2框架优先；熟练使用git进行版本管理；自主学习能力，尤其是基于英文资料的学习；日常工作使用英语流利的读/写文档和邮件。,10000-15000,移动互联网|电子商务,https://www.lagou.com/jobs/4131131.html?utm_source=m_cf_seo_ald_zhw,2018-05-02
418,厦门优他动漫科技有限公司,2018-03-02,python运维,职位描述 工作职责： 1. 负责自动化运维平台的建设，并参与开发； 2. 负责相关工具及平台的设计和优化方案制定，并参与定制化开发； 3. 负责持续交付和DevOps 方法与实践在公司的推广和实施； 4. 针对产品线现状制定工程能力提升整体解决方案，推动产品线效率和质量提 升。 职位要求： 1. 相关工作领域2-3 年经验，熟悉Linux 操作系统，计算机网络等，基础知识 扎实； 2. 精通Python 等脚本语言开发，具有实际研发PaaS 或IaaS 经验优先； 3. 精通Python 至少一种开发框架如django 有2 年以上的项目开发或管理经 验； 4. 有前端开发知识储备，熟悉Javascript、CSS，html，了解常用的前端框架， 包括不限于Bootstrap，Jquery 等； 5. 具有自动化运维平台、云管理平台开发能力和经验者重度github 用户优先 6. 熟悉虚拟化、Docker 等容器技术； 7. 有良好的时间观念，能很好的沟通交流，乐于分享。,10000-11000,计软/通信/互联网/电子,https://www.zhipin.com/job_detail/1417036096.html?sid=seo_aladingb,2018-04-01
419,北京果壳互动科技传媒有限公司,2018-03-02,后端技术经理（Pythonweb）(北京果壳互动科技传媒有限公司),工作职责:-负责果壳网站业务团队研发管理和团队建设工作-设计和改进前后端技术架构并推动实施-保障工程进度和质量岗位要求:-2年以上团队管理经验-具备高可用后端技术架构经验-熟练掌握PythonWeb开发技术栈-掌握前端开发，了解技术趋势，能够给出合理技术方案优先条件:-深入了解PostgreSQL-Pythonista,20000-40000,移动互联网|社交网络,https://www.lagou.com/jobs/3949421.html?utm_source=m_cf_seo_ald_zhw,2018-05-02
420,北京星尘纪元智能科技有限公司,2018-03-02,高级Python工程师(北京星尘纪元智能科技有限公司),"公司介绍星尘数据是一家人工智能基础设施的云平台。我们提供人工智能所需要的基础设施，包括训练数据标注众包平台、算法交易平台等。AI数据服务是一个在国外有几十亿美金的成熟市场，公司成立两个月已经有多家客户，覆盖人脸识别/文本分析/智能零售等方向。公司在获得了来自AI专业投资人数千万估值的融资之后，正在快速迭代产品，期待和你一起成就梦想。岗位介绍负责机器学习基础架构产品的设计、讨论、开发、管理方面的工作。设计AI系统运行的底层运行架构，能够支持模型的全生命周期各个环节：数据采集、数据标注、特征提取、训练、回测、上线、学习、迭代、弹性扩展等。你在团队中扮演的角色负责我们的AI数据标注平台的产品框架定制参与产品规划思考，设计AI系统运行的底层运行架构，能够支持模型的全生命周期各个环节：数据采集、数据标注、特征提取、训练、回测、上线、学习、迭代、弹性扩展等。管理开发进度和开发流程开发产品核心代码参与机器学习核心算法的开发招聘和人员管理团队希望你具备的技术能力熟练掌握Python、良好的编码风格，强悍的编码能力，有代码洁癖者加分熟悉Flask、Django、Postgres、Redis等框架语音，并用其开发过真实项目有扎实的计算机基础，熟悉常用数据结构、算法、设计模式了解前端语言如Vue、Angular等中的一种，能快速上手有良好的开发协作规范，熟知CI理念，拥护TDD，能够用连续部署等方式提升效率我们对你的期望对敏捷开发方式有深入理解，并能搭建环境，制造团队氛围突出的学习能力和逻辑思维能力优秀的沟通能力，善于和技术团队协作对机器学习有一定兴趣和了解在专业和个人爱好方面有一技之长有初创公司小团队工作经验团队的工作氛围纯技术、最前沿、极具挑战的成长环境，CEO天天跟你聊机器学习算法和人工智能趋势前往硅谷的培训、工作机会每个人都有学习成长的空间希望你能参与到我们的用户需求讨论和思考扁平化管理，每个人都有一定的Ownership每周都有分享会，希望你能经常做技术和知识的分享希望通过黑客马拉松（Hackathon）等方式充分发挥每个人的创造性TheJoelTest你们用源文件管理系统吗？✓你们可以把整个系统从源码到上线一步建成吗？还没有,正在改进，连续部署是开发非常重要的一环你们每天都把从系统源码到线上构建一遍吗？✓你们有软件bug管理系统吗？目前记录在github，以后回持续优化你们在写新程序之前总是把现有程序里已知的bug解决吗？一般是你们的产品开发日程安排是否反映最新的开发进展情况？✓你们有没有软件开发的详细说明书？✓你们的程序员是否工作在安静的环境里？新装修的办公室，设施和装修都不错你们是否使用现有市场上能买到的最好的工具？✓你们有没有专职的软件测试人员？技术人员轮流部署单元测试和功能测试你们招人面试时是否让写一段程序？✓你们是否能通过『走廊测试』？我们在做出产品原型后都会找意向客户测试反馈福利弹性上班时间10+天带薪年假雾霾假每周五公司聚餐，分享进度黑客马拉松自选MBP电脑配置无限咖啡、饮料、零食餐补、车补医疗补充险团队介绍我们的专业团队背景：世界银行、华尔街、硅谷工作8年；涉及金融、保险、数据、量化、风险模型、人工智能等方向；开发了世界首款股权投资机器人，曾担任首席数据科学家；浙江大学，乔治华盛顿大学；清华大学、哈佛大学访问学者；百度人工智能实验室数据科学家；康奈尔大学毕业，谷歌产品经理；中科院计算所博士、深度学习图像处理专家；北大、美国西北大学人工智能方向博士、谷歌DeepMind(AlphaGo)实验室NLP研究员；澳洲银行业、零售业数据科学家领队，客户价值挖掘专家...",20000-35000,数据服务|移动互联网,https://www.lagou.com/jobs/4045220.html?utm_source=m_cf_seo_ald_zhw,2018-05-02
421,北京博派通达科技有限公司,2018-03-02,Python 高级工程师(模拟请求、爬虫方向),我们是一家创业公司，在做互联网保险相关的产品，期待你的加入。 ## 工作地点 北京 - 惠新西街南口地铁附近 ## 工作环境 - 标配 MacBook Pro + U2415 显示器 - Ergonor 工作椅 - 凸墙环境和服务 - 无限零食、饮料、水果 - 扁平化层级 - 很多绿植 - 介绍对象 - 持续招妹子 - 报销所有专业书籍 ## 薪资范围 10 - 30K ## Python 高级工程师（模拟请求方向） ### 工作职责 - 通过模拟请求将人工复杂操作转变为自动化操作 - 将自动化操作融入整套系统 - 获取业务所需数据 ### 职位要求 - 一年以上 Python 开发经验 - 精通网络编程、熟悉 HTTP 协议 - 熟悉 HTML、XPath、CSS、JavaScript - 熟悉正则表达式，从结构化的和非结构化的数据中获取信息 - 拥有良好的编码习惯，结构清晰，命名规范，逻辑性强，认同单元测试 - 善于思考，能独立分析和解决问题 - 责任心强，具备良好的团队合作精神 - 熟练使用 Git，熟悉 Pull Request 工作流 - 如果您有 Blog、GitHub、Stack Overflow、微博、Twitter 帐号，强烈建议您附注在简历中 工作地址 北京市朝阳区北土城东路4号院1号楼,10000-20000,计软/通信/互联网/电子,https://www.zhipin.com/job_detail/1414874996.html?sid=seo_aladingb,2018-04-01
422,内蒙古西贝餐饮连锁有限责任公司,2018-03-02,Python高级开发工程师(内蒙古西贝餐饮连锁有限责任公司),"职位描述公司核心部门开发人员职位诱惑：如果你想帮助一个中国知名的餐饮企业转型互联网+如果你想改变一个传统领域的玩法如果你想自己担当一个项目的负责人那么请你加入我们吧，我们给你无限的想象空间，我们不会限制你的发展，你有多少能力我们给你多大平台待遇是你想岗位职责：1.根据第三方平台提供的数据,进行清洗,整理,分析；2.全公司服务器的自动化运维，自研发系统自动化发布实现；3.全网的餐饮行业数据以及相关数据收集；4.自研发项目的自动化测试、压力测试等；5.餐饮行业数据分析；岗位要求：1.熟练掌握python,熟悉linux系统；2.掌握tornado框架等常用框架；3.熟悉mysql等常用数据库，对SQL语句有深入理解，掌握大数据处理技术优先；4.数据redis等缓存数据库;5.较强的学习、分析问题的能力，良好的团队合作意识，需要有一定抗压能力；6.有数据挖掘/机器学习/推荐系统开发经验者优先；7、3年以上工作经验，统招本科；",12000-20000,其他,https://www.lagou.com/jobs/4079439.html?utm_source=m_cf_seo_ald_zhw,2018-05-02
423,北京天润融通科技股份有限公司,2018-03-02,python开发实习生,职位诱惑： 定期培训/定期团建/提供工作餐/牛人mentor/租房补助/可转正 职位描述： 岗位职责 1.参与公司数据平台建设，负责后端代码编写； 2.与产品、技术对接，并调试后端接口； 3.表现优秀会有机会参加平台建设方面的工作。 任职资格 1.至少掌握一门编程语言，有编程经验。会python、django者优先； 2.熟练使用sql语言，了解索引； 3.有较强的责任心和上进心；,4000-8000,计软/通信/互联网/电子,https://www.zhipin.com/job_detail/1417035594.html?sid=seo_aladingb,2018-04-01
424,北京多牛互动传媒股份有限公司,2018-03-02,Python开发工程师-WEB-DNJS0007(北京多牛互动传媒股份有限公司),"这里有大量的妹子，休闲的别墅办公，超美味的午餐，丰富的娱乐，欢乐的同事，这些你想拥有吗？在这里你再也不是简单的码农，我们带你一起向高富帅的路上狂奔！我们需要你：*负责软件模块的设计、开发、单元测试、集成等工作；*参与相关需求分析、业务逻辑流程设计及文档编写；*参与数据模型设计和实现；*参与性能优化；*参与新技术研究学习及应用我们希望你具备：*计算机相关专业本科及以上学历；*熟悉python语言，2年以上python项目开发经验；*熟悉tornado,或flask、django框架，并深入了解其中一种；*熟悉至少一种数据库（mysql、oracle）、了解至少一种Nosql数据库（redis、mongodb、hbase）；*熟悉linux系统，熟悉http协议；*熟悉restfulapi设计风格和规则，熟悉pandas者优先；*具备良好的编码规范、学习能力，有独立分析解决问题能力；*工作认真负责，沟通协作意识良好，能够承担工作压力.先来点实际的：*多牛传媒为每一位员工提供最人性化的薪酬福利，工作环境；*入职缴纳社保公积金，我们义不容辞；*我们关心每一位多牛人的健康，健身房，水果，零食饮料等多项软福利；*每天下午困困哒，不要紧，咖啡无限量供应！*我们有最open的文化氛围，珍视每一位多牛人每一个小小的建议；*多牛传媒，趣，最活力，最学习，最靠谱，最创新；*我们等待你的加入！",12000-24000,文化娱乐,https://www.lagou.com/jobs/3470409.html?utm_source=m_cf_seo_ald_zhw,2018-05-02
425,北京神荼科技有限公司,2018-03-02,Python-Web开发工程师,"职责描述: 负责公司产品的Web API 和相关SDK开发 任职要求： 1. 有1年及以上的Python WEB服务端开发经验。 2. 熟悉python-Web框架(flask|django等),有Shell脚本使用经验。 3. 能够熟练使用redis,mysql,mongodb。 4. 熟悉TCP/IP和网络编程，熟悉多线程编程和websocket协议。 5. 善于分析和解决问题，比较强的学习经验和创新能力，有责任心。 6. 加分项：有区块链项目或者数字货币钱包开发经验 。",8000-15000,计软/通信/互联网/电子,https://www.zhipin.com/job_detail/1416599280.html?sid=seo_aladingb,2018-04-01
426,北京荣之联科技股份有限公司,2018-03-02,爬虫工程师（python）(北京荣之联科技股份有限公司),岗位职责：1、完成产品软件模块规划、设计；2、完成产品智能推荐、用户评价反馈模块开发；3、搭建互联网数据采集平台，实现可视化分布式网络爬虫设计。任职要求：1、计算机相关专业，本科以上学历；3年以上爬虫开发相关经验，熟练使用Python进行开发；2、熟练使用正则表达式、csspath、xpath等，能够从结构化的和非结构化的数据中获取信息；3、精通一种开源爬虫框架，如scrapy、webmagic、nutch、heritrix等，有开发爬虫框架经验优先；4、参与过实现项目编码开发。加分项：了解NLP算法、机器学习、数据挖掘等。备注：公司有班车,10000-20000,企业服务|数据服务,https://www.lagou.com/jobs/4129965.html?utm_source=m_cf_seo_ald_zhw,2018-05-02
